(standard input):1068377	|	755489	|	Dichotomosiphonaceae	|	family	|	ncbi:35433,worms:368714,gbif:4269806,irmng:107701	|		|		|	
(standard input):755491	|	755489	|	Derbesiaceae	|	family	|	ncbi:33105,worms:143667,gbif:8777,irmng:105551	|		|		|	
(standard input):1068369	|	755489	|	Udoteaceae	|	family	|	ncbi:35435,worms:143670,gbif:5272280,irmng:109165	|		|		|	
(standard input):323774	|	755489	|	Pseudocodiaceae	|	family	|	ncbi:379499,worms:368717,gbif:8780,irmng:105193	|		|		|	
(standard input):59849	|	755489	|	Bryopsidaceae	|	family	|	ncbi:3127,worms:143666,gbif:8774,irmng:12151,irmng:107288	|		|		|	
(standard input):1068368	|	755489	|	Ostreobiaceae	|	family	|	ncbi:35434,worms:368716,gbif:8779,irmng:106488	|		|		|	
(standard input):900411	|	755489	|	Codiaceae	|	family	|	ncbi:3131,worms:143689,gbif:8776,irmng:107230	|		|		|	
(standard input):4735976	|	755489	|	Chaetosiphonaceae	|	family	|	worms:143669,gbif:8775,irmng:107295	|		|		|	
(standard input):6001824	|	1092374	|	Kraftionemaceae	|	family	|	ncbi:1879028	|		|		|	
(standard input):603	|	1092374	|	Ulotrichaceae	|	family	|	ncbi:205394,worms:143790,gbif:4857,irmng:105775	|		|		|	
(standard input):573425	|	1092374	|	Chlorocystidaceae	|	family	|	ncbi:398705,worms:143678,gbif:8796,irmng:105163	|		|		|	
(standard input):5153575	|	1092374	|	Collinsiellaceae	|	family	|	worms:380901,gbif:8829,irmng:105167	|		|		|	
(standard input):5153394	|	1092374	|	Borodinellaceae	|	family	|	worms:143789,gbif:8815,irmng:107251	|		|		|	
(standard input):953811	|	629736	|	Okellyaceae	|	family	|	ncbi:929598,worms:547536,gbif:5839234,irmng:121680	|		|		|	
(standard input):1068365	|	629736	|	Siphonocladaceae	|	family	|	ncbi:35439,worms:143779,gbif:4860,irmng:109091	|		|		|	
(standard input):491908	|	629736	|	Valoniaceae	|	family	|	ncbi:35440,worms:143780,gbif:4861,irmng:107638	|		|		|	
(standard input):1068370	|	629736	|	Cladophoraceae	|	family	|	ncbi:35436,worms:143687,worms:143778,gbif:7725918,gbif:4854,irmng:106160,irmng:108761	|		|		|	
(standard input):217842	|	629736	|	Pithophoraceae	|	family	|	ncbi:926346,worms:707601,gbif:7799873,irmng:121192	|		|		|	
(standard input):606768	|	629736	|	Anadyomenaceae	|	family	|	ncbi:222489,worms:143686,gbif:4853,irmng:107639	|		|		|	
(standard input):5233922	|	5233921	|	Scotinosphaeraceae	|	family	|	ncbi:1387702	|		|		|	
(standard input):951301	|	951302	|	Ulvaceae	|	family	|	ncbi:3114,worms:143794,gbif:9013,irmng:108064	|		|		|	
(standard input):1018102	|	951302	|	Ulvellaceae	|	family	|	ncbi:35455,worms:143795,gbif:9014,irmng:108065	|		|		|	
(standard input):342531	|	951302	|	Jaoaceae	|	family	|	ncbi:1108639,worms:368896,gbif:3229643,irmng:107656	|		|		|	
(standard input):276206	|	951302	|	Kornmanniaceae	|	family	|	ncbi:189349,worms:143792,gbif:9012,irmng:106120	|		|		|	
